Date,Open,High,Low,Close,Adj Close,Volume
2019-04-03,232.370712,250.666595,220.959579,226.851074,226.851074,14924646627
2019-04-04,226.821960,231.514435,218.095596,222.332352,222.332352,11187650914
2019-04-05,222.247086,235.296799,221.091614,232.879395,232.879395,10596562889
2019-04-06,232.874313,242.729691,227.651840,233.487717,233.487717,10083991822
2019-04-07,233.529984,246.609039,232.059464,245.810379,245.810379,10698454306
2019-04-08,245.703644,259.769958,245.323166,253.130066,253.130066,13066580297
2019-04-09,253.078552,252.884613,245.462891,247.047882,247.047882,10706668250
2019-04-10,247.040787,255.446854,244.419556,247.429230,247.429230,10962335152
2019-04-11,247.437500,247.716980,226.881195,232.314789,232.314789,11032530878
2019-04-12,232.087646,231.117935,226.128113,229.821838,229.821838,8701428616
2019-04-13,229.663528,232.090393,227.416046,229.478851,229.478851,6917704951
2019-04-14,229.426880,235.066483,227.047607,234.064072,234.064072,6758545841
2019-04-15,234.146454,235.270813,222.470474,225.273666,225.273666,7908581054
2019-04-16,225.185455,234.042740,224.278915,233.929749,233.929749,7229184070
2019-04-17,233.885513,235.782516,229.892883,232.725021,232.725021,7800821686
2019-04-18,232.680344,245.300842,232.374252,243.233963,243.233963,9755975328
2019-04-19,243.195984,243.089233,238.697006,242.711334,242.711334,9139381732
2019-04-20,242.725830,246.899368,240.029205,242.771179,242.771179,8582604593
2019-04-21,242.721069,243.706635,233.936920,237.895081,237.895081,8401794791
2019-04-22,237.820282,242.469833,236.448990,240.850388,240.850388,8540837977
2019-04-23,241.036118,248.562714,240.703796,241.629608,241.629608,10003308416
2019-04-24,241.469193,241.832443,230.986526,236.444290,236.444290,10481908490
2019-04-25,236.570694,237.621964,219.262741,220.078384,220.078384,9717814159
2019-04-26,220.249420,224.873062,216.889374,222.115433,222.115433,10662425830
2019-04-27,222.007141,228.174759,221.085175,225.113541,225.113541,8330645494
2019-04-28,225.205658,226.719742,223.224762,223.329590,223.329590,7638444055
2019-04-29,223.299820,224.348557,217.252655,220.000687,220.000687,8581300484
2019-04-30,219.946548,230.488602,219.902328,230.014679,230.014679,8901536869
2019-05-01,230.016068,232.664139,227.669418,229.277100,229.277100,8253565245
2019-05-02,229.327347,232.755524,228.483124,231.786469,231.786469,8641333234
2019-05-03,231.719513,243.131454,230.232544,239.214615,239.214615,10396550620
2019-05-04,239.121765,243.050995,230.439529,233.623062,233.623062,9483131899
2019-05-05,233.606934,235.579193,227.461639,234.366394,234.366394,8514892168
2019-05-06,234.242676,251.332199,228.879089,246.923950,246.923950,10783642936
2019-05-07,246.600830,257.807251,242.139084,242.294708,242.294708,12002301698
2019-05-08,242.424423,246.167877,237.330200,244.438614,244.438614,9175046451
2019-05-09,244.487167,247.582031,239.034012,243.691147,243.691147,9368909187
2019-05-10,243.764023,251.231354,240.833557,247.317093,247.317093,11479935175
2019-05-11,247.312195,290.631744,247.312195,277.544312,277.544312,17966888935
2019-05-12,277.342468,288.367493,262.331268,268.188049,268.188049,14783496131
2019-05-13,268.320618,295.321594,265.335815,283.428314,283.428314,14927098075
2019-05-14,283.255890,313.937988,282.201691,312.999023,312.999023,18379426871
2019-05-15,312.809448,357.160706,312.526978,356.755310,356.755310,19428967571
2019-05-16,356.519714,398.849640,355.662323,383.078552,383.078552,27077786981
2019-05-17,382.846619,387.635712,331.437805,355.238129,355.238129,23371524083
2019-05-18,355.451935,359.024475,339.696411,341.875641,341.875641,15932868778
2019-05-19,341.663208,382.452911,340.656525,378.591797,378.591797,17458412654
2019-05-20,378.555939,378.950897,349.874878,363.924194,363.924194,15655056228
2019-05-21,363.611237,380.773041,360.987885,370.778381,370.778381,16772682684
2019-05-22,370.457977,376.511169,352.735931,355.773376,355.773376,14274990344
2019-05-23,355.760223,358.918579,340.190216,356.427612,356.427612,15464254201
2019-05-24,356.533691,369.061340,353.205292,360.256317,360.256317,14338101549
2019-05-25,360.558197,371.473511,359.684235,363.394745,363.394745,12882484554
2019-05-26,363.344086,388.492340,357.084656,385.288300,385.288300,13942165506
2019-05-27,385.392517,402.749329,383.422913,394.337006,394.337006,17450124355
2019-05-28,393.943695,396.046844,385.952637,392.434021,392.434021,14963950921
2019-05-29,392.448975,396.027863,379.596436,389.553986,389.553986,14195588118
2019-05-30,389.693054,415.692780,357.866180,370.510620,370.510620,19700409358
2019-05-31,370.737000,388.100769,360.240662,386.217590,386.217590,16212861372
2019-06-01,386.678253,394.060272,379.607178,382.296112,382.296112,14322704021
2019-06-02,382.471069,392.978821,381.792847,389.968689,389.968689,12618828728
2019-06-03,389.770996,389.027557,360.232605,362.406494,362.406494,13450960292
2019-06-04,362.268341,362.268341,337.715515,345.227661,345.227661,14494298303
2019-06-05,345.454041,356.007507,344.111328,354.441376,354.441376,12265037270
2019-06-06,354.260925,358.225220,341.718933,357.551361,357.551361,11845765440
2019-06-07,357.445831,363.183014,353.648773,358.529297,358.529297,11972678933
2019-06-08,358.985016,360.596802,347.525757,351.110596,351.110596,10324504318
2019-06-09,350.828247,351.445953,327.585938,333.181122,333.181122,10815669821
2019-06-10,332.814392,355.734253,327.894501,355.604492,355.604492,11696151977
2019-06-11,356.095825,357.265961,344.717743,353.073944,353.073944,10604881421
2019-06-12,353.280334,376.570587,351.319092,376.405731,376.405731,12473022416
2019-06-13,376.506287,378.116058,369.732788,370.656769,370.656769,12215045031
2019-06-14,370.654297,386.115356,368.646698,384.247253,384.247253,12624876793
2019-06-15,384.024170,395.147034,381.386383,391.528564,391.528564,11827758214
2019-06-16,391.356567,404.807373,386.461456,391.357910,391.357910,14066660541
2019-06-17,391.165161,401.844788,390.128693,400.364685,400.364685,8770185130
2019-06-18,400.319672,400.319672,382.702026,385.261902,385.261902,9019530957
2019-06-19,385.167358,392.430267,384.604797,391.324097,391.324097,8012208082
2019-06-20,391.289337,395.949921,383.619995,392.513458,392.513458,9258952447
2019-06-21,392.563324,426.004547,392.563324,425.437561,425.437561,13461901965
2019-06-22,425.733002,454.692688,425.174957,446.312042,446.312042,15311368707
2019-06-23,446.364502,459.641510,441.096008,443.529053,443.529053,11758744313
2019-06-24,443.376831,448.509003,431.067383,445.617096,445.617096,11779365310
2019-06-25,445.985687,457.158020,441.235657,457.158020,457.158020,13855534433
2019-06-26,456.965851,517.394958,453.864105,482.050415,482.050415,23529110564
2019-06-27,482.346313,491.482117,397.554077,420.161224,420.161224,20043869237
2019-06-28,419.983307,446.120056,418.102753,443.217102,443.217102,16398022776
2019-06-29,443.300171,458.622223,419.758942,455.795898,455.795898,15564522318
2019-06-30,455.119659,459.684631,413.900818,413.900818,413.900818,14669847626
2019-07-01,413.292114,429.770538,402.269043,421.650726,421.650726,14779005763
2019-07-02,421.501617,424.455078,389.825775,416.877930,416.877930,15180509322
2019-07-03,417.167664,431.352386,414.163635,431.086639,431.086639,14118355452
2019-07-04,430.980164,432.189911,402.504852,404.935150,404.935150,11959930273
2019-07-05,404.800903,419.046326,402.333923,412.239655,412.239655,12486807902
2019-07-06,412.091217,423.682098,410.333527,411.594971,411.594971,10985443946
2019-07-07,411.675812,444.326691,409.536713,437.851257,437.851257,11629784652
2019-07-08,437.900269,450.771088,434.764404,449.323120,449.323120,13022646049
2019-07-09,449.403564,457.308899,440.652283,445.833923,445.833923,14513456776
2019-07-10,445.933380,452.172760,410.652740,416.672729,416.672729,16781697567
2019-07-11,416.591797,416.808716,381.532135,385.413483,385.413483,14653649559
2019-07-12,385.396606,398.989349,383.266815,393.519165,393.519165,11607067396
2019-07-13,393.536835,394.101044,374.705505,383.807983,383.807983,9567223466
2019-07-14,383.555573,384.067810,323.821350,324.268951,324.268951,12223009862
2019-07-15,324.820343,333.965576,299.744446,326.381409,326.381409,13811827777
2019-07-16,326.342590,333.232666,281.483185,283.843872,283.843872,12877184203
2019-07-17,283.749817,310.549866,276.919769,301.685852,301.685852,13391734661
2019-07-18,301.653015,324.560577,295.670502,320.594299,320.594299,13198990313
2019-07-19,320.723816,321.089020,305.910553,314.394165,314.394165,10804595972
2019-07-20,314.506714,332.621063,314.189728,325.407257,325.407257,11328287293
2019-07-21,325.476105,326.461731,311.074829,320.384399,320.384399,9492483418
2019-07-22,320.503601,322.079742,303.374176,309.522644,309.522644,9018273243
2019-07-23,309.534637,312.008148,298.489258,304.030548,304.030548,9970195139
2019-07-24,303.780853,311.771790,292.047546,310.994904,310.994904,10272077066
2019-07-25,310.884186,321.627167,309.808136,315.911713,315.911713,9682678697
2019-07-26,315.926270,318.704956,308.448914,317.705200,317.705200,8288517668
2019-07-27,317.687897,323.328888,296.403778,300.026489,300.026489,9052081587
2019-07-28,300.034393,306.866730,292.655304,305.799194,305.799194,7971105252
2019-07-29,305.708099,309.687622,302.489044,306.180878,306.180878,7949429025
2019-07-30,306.283966,310.927460,299.890808,306.221130,306.221130,7985504214
